EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-31001198	CIL 03, 12014,554	Raetia	Bregenz / Brigantium					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	L(ucius) Ter() Secu()	L Ter Secu	Lucius Ter Secu	opus figlinae		47.5025779	9.7472924						
EDCS-31001199	CIL 03, 12014,567	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Vapuso fe(cit)	Vapuso fe	Vapuso fecit	opus figlinae		47.5025779	9.7472924						
EDCS-31001200	CIL 03, 12014,575	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	V(e)recun{n}[du]s(?)	Vrecunns	Verecundus	opus figlinae		47.5025779	9.7472924						
EDCS-31001201	CIL 03, 12014,580	Raetia	Bregenz / Brigantium					sigilla impressa;  tituli fabricationis	Of(ficina) Vi[3]	Of Vi	Officina Vi	opus figlinae		47.5025779	9.7472924						
EDCS-31001202	CIL 03, 12014,589a	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Of(f)ic(ina) Viril(is)	Ofic Viril	Officina Virilis	opus figlinae		47.5025779	9.7472924						
EDCS-31001203	CIL 03, 12014,589b	Raetia	Bregenz / Brigantium					sigilla impressa;  tituli fabricationis;  viri	[3] Virili(s)	Virili	Virilis	opus figlinae		47.5025779	9.7472924						
EDCS-31001204	CIL 03, 12014,592	Raetia	Bregenz / Brigantium					sigilla impressa;  tituli fabricationis	Voman(?)	Voman	Voman	opus figlinae		47.5025779	9.7472924						
EDCS-31001205	CIL 03, 12014,613	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Crol[l]i m(anu)	Croli m	Crolli manu	opus figlinae		47.5025779	9.7472924						
EDCS-31001206	CIL 03, 12014,616	Raetia	Bregenz / Brigantium					sigilla impressa;  tituli fabricationis;  viri	[3]ecelli	ecelli	ecelli	opus figlinae		47.5025779	9.7472924						
EDCS-31001207	CIL 03, 12014,642	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	[A]ntoni o(fficina)	ntoni o	Antoni officina	opus figlinae		47.5025779	9.7472924						
EDCS-31001208	CIL 03, 12014,658	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Of(ficina) Seve[ri(?)]	Of Seve	Officina Severi	opus figlinae		47.5025779	9.7472924						
EDCS-31001209	CIL 03, 12014,662	Raetia	Bregenz / Brigantium					praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	Ti(berius) Siuci(us) f(ecit)	Ti Siuci f	Tiberius Siucius fecit	opus figlinae		47.5025779	9.7472924						
EDCS-31001210	CIL 03, 12014,717	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis	Rom()	Rom	Rom	opus figlinae		47.5025779	9.7472924						
EDCS-31001211	CIL 03, 12014,723	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Silanus	Silanus	Silanus	opus figlinae		47.5025779	9.7472924						
EDCS-31001212	CIL 03, 12014,739	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis	Vix()	Vix	Vix	opus figlinae		47.5025779	9.7472924						
EDCS-31001213	CIL 03, 12014,743	Raetia	Bregenz / Brigantium					sigilla impressa;  tituli fabricationis	[3] manus	manus	manus	opus figlinae		47.5025779	9.7472924						
EDCS-31001214	CIL 03, 12019,3 (p 2328,56)	Raetia	Bregenz / Brigantium					nomen singulare;  tituli fabricationis	Of(f)i(cina) L()	Ofi L	Officina L			47.5025779	9.7472924						
EDCS-31001215	CIL 03, 12031,04 = IBR 00075a2	Raetia	Bregenz / Brigantium	1	71	1	71	milites;  tituli possessionis;  viri	N(umerius) Po(m)poni(us) |(centuria) L(uci) Turetedi co(ho)rt(is) III	N Poponi L Turetedi cort III	Numerius Pomponius centuria Luci Turetedi cohortis III	aes		47.5025779	9.7472924		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IBR_00075a.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058423			1 to 71
EDCS-31001216	CIL 03, 12031,17	Raetia	Bregenz / Brigantium					nomen singulare;  tituli possessionis;  viri	[U]rbanus	rbanus	Urbanus			47.5025779	9.7472924						
EDCS-31001217	CIL 03, 12033,3 = IBR 00077a = Henkel-1913, 00394	Raetia	Bregenz / Brigantium	1	300	1	300	tituli possessionis;  tituli sacri	Mer(curio?)	Mer	Mercurio	argentum		47.5025779	9.7472924			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD075496			1 to 300
EDCS-31001218	CIL 03, 12034,04	Raetia	Bregenz / Brigantium					tituli fabricationis;  tria nomina;  viri	T(itus) C() D()	T C D	Titus C D			47.5025779	9.7472924						
EDCS-31001219	CIL 03, 12034,11a	Raetia	Bregenz / Brigantium					nomen singulare;  tituli possessionis;  viri	Iordannes	Iordannes	Iordannes			47.5025779	9.7472924						
EDCS-29900070	CIL 03, 13542 (p 2288) = IBR 00074 = D 07107 = AEA 1985/92, +00051 = AEA 1985/92, 00060 = AE 1986, 00530	Raetia	Bregenz / Brigantium	1	200	1	200	officium/professio;  tituli sacri;  viri	Dis deabusq(ue) / cives L[a]t(ini) negot(iatores) / Brig[a]ntiens(es)	Dis deabusq cives Lt negot Brigntiens	Dis deabus que cives Latini negotiatores Brigantienses	lapis		47.5025779	9.7472924		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD007878;lu_5276;de-b0719			1 to 200;  1 to 200
EDCS-31500165	CIL 03, 13552,101	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis	Secin() f(ecit)	Secin f	Secin fecit	opus figlinae		47.5025779	9.7472924						
EDCS-31500166	CIL 03, 13552,112	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Valerianus	Valerianus	Valerianus	opus figlinae		47.5025779	9.7472924						
EDCS-31200568	CIL 03, 14112,3	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Passerai	Passerai	Passerai	opus figlinae		47.5025779	9.7472924						
EDCS-31200569	CIL 03, 14112,4	Raetia	Bregenz / Brigantium					sigilla impressa;  tituli fabricationis;  tituli possessionis;  viri	Iu[3] // Olympi	Iu Olympi	Iu Olympi	opus figlinae		47.5025779	9.7472924						
EDCS-32001382	CIL 03, 14115,02a	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	[Ci]nnami m(anu)	nnami m	Cinnami manu	opus figlinae		47.5025779	9.7472924						
EDCS-32001422	CIL 03, 14115,33a	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Uxopilli m(anu)	Uxopilli m	Uxopilli manu	opus figlinae		47.5025779	9.7472924						
EDCS-31200570	CIL 03, 14115,58	Raetia	Bregenz / Brigantium					mulieres;  nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Pantae m(anu)	Pantae m	Pantae manu	opus figlinae		47.5025779	9.7472924						
EDCS-31200571	CIL 03, 14115,67	Raetia	Bregenz / Brigantium					sigilla impressa;  tituli fabricationis	TIGOTAL IM[3]	TIGOTAL IM	TIGOTAL IM	opus figlinae		47.5025779	9.7472924						
EDCS-32300325	CIL 03, 14373,72	Raetia	Bregenz / Brigantium					sigilla impressa;  tituli fabricationis	BIB[3]N[3]R	BIB N R	BIB N R	opus figlinae		47.5025779	9.7472924						
EDCS-32700226	CIL 03, 15216,31	Raetia	Bregenz / Brigantium					mulieres;  sigilla impressa;  tituli fabricationis;  viri	Imanni	Imanni	Imanni	opus figlinae		47.5025779	9.7472924						
EDCS-29100349	CIL 03, p 0964,24	Raetia	Bregenz / Brigantium					tituli possessionis	] et / [3]ISN / [3]ATO / [3]ILL / [3]ONC	et ISN ATO ILL ONC	et ISN ATO ILL ONC	opus figlinae		47.5025779	9.7472924						
EDCS-79300011	Epigraphica-2019-637,1	Raetia	Bregenz / Brigantium					tituli possessionis	C	C	C	opus figlinae		47.5025779	9.7472924		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica-2019-637-1.jpg				
EDCS-79300012	Epigraphica-2019-638,8	Raetia	Bregenz / Brigantium					tituli possessionis	Caius	Caius	Caius	opus figlinae		47.5025779	9.7472924		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica-2019-638-8.jpg				
EDCS-79300010	Epigraphica-2019-641,19	Raetia	Bregenz / Brigantium					tituli possessionis	XI	XI	XI	opus figlinae		47.5025779	9.7472924		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica-2019-641-19.jpg				
EDCS-37500142	IBR 00072a	Raetia	Bregenz / Brigantium	1	300	1	300		]AV[	AV	AV	lapis		47.5025779	9.7472924			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058418			1 to 300
EDCS-32300665	IBR 00075b	Raetia	Bregenz / Brigantium	101	300	101	300	carmina;  tituli possessionis	[Decus imperiumque Latini] / [te penes in te omnis do]mu[s] / [inclinata re]cum[bit] / [unum oro] desiste m[anum] / [committere] Teucris	mu cum desiste m Teucris	Decus imperium que Latini te penes in te omnis domus inclinata recumbit unum oro desiste manum committere Teucris	tectorium		47.5025779	9.7472924		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058425;lu_5269			101 to 300
EDCS-37500143	IBR 00076b (p V)	Raetia	Bregenz / Brigantium	1	300	1	300		]AT[3] / [3]DIN[3] / [3]ATI[3] / [3]S[3] / [3]FRON[	AT DIN ATI S FRON	AT DIN ATI S FRON			47.5025779	9.7472924		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IBR_00076b.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058426			1 to 300
EDCS-37500144	IBR 00077b	Raetia	Bregenz / Brigantium	1	300	1	300	tituli possessionis	Vi(ta?)	Vi	Vita	aurum		47.5025779	9.7472924			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD075497			1 to 300
EDCS-38700261	JOeAI-1943-114 = Kropp-07-01-02	Raetia	Bregenz / Brigantium					defixiones;  tituli sacri	De(fig)o amc ea(m) re(m) impl/e(b)i<t=D> D(is) P(at)er ad era(m) Ogm/ius salute(m) c<o=U>r tal<o=U>s re[n(es)] / anum genita(lia) [3]c[3]m auri/s c<i=E>st{h}ula(m) utens(ilia) / da<b=V>(it) {i}spiri<ti=DE>bus / ac o<b=V>(o)ediu(nt) {a}ei ne qu<e=I>/iat nubere ira de[i]	Deo amc ea re impleiD D Per ad era Ogmius salute cUr talUs re anum genita c m auris cEsthula utens daV ispiribus ac oVediu aei ne quIiat nubere ira de	Defigo amc eam rem implebit Dis Pater ad eram Ogmius salutem cor talos renes anum genitalia c m auris cistulam utensilia dabit spiritiEbus ac oboediunt ei ne queiat nubere ira dei			47.5025779	9.7472924						
EDCS-66300052	ROe-1981/82-288	Raetia	Bregenz / Brigantium	1	300	1	300		]M[ // ]K[ // ]M[	MKM	M K M			47.5025779	9.7472924			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD063779			1 to 300
EDCS-31001555	Wagner-02, 00009	Raetia	Bregenz / Brigantium	101	150	101	150	defixiones	PIERAE CMAOED / MGOAREDAREPDDIEL / IVS salute CVRTALVSRE / IRVAM[3]LATINEGMVNA // SNETVALVHTSECS / DAVISPIRI DEBVS / VQENIEAVIDEVOCA / [1]EDARI EREBVNTAI	PIERAE CMAOED MGOAREDAREPDDIEL IVS salute CVRTALVSRE IRVAM LATINEGMVNA SNETVALVHTSECS DAVISPIRI DEBVS VQENIEAVIDEVOCA EDARI EREBVNTAI	PIERAE CMAOED MGOAREDAREPDDIEL IVS salute CVRTALVSRE IRVAM LATINEGMVNA SNETVALVHTSECS DAVISPIRI DEBVS VQENIEAVIDEVOCA EDARI EREBVNTAI	plumbum		47.5025779	9.7472924			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057898			101 to 150
