EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-10500987	CIL 13, 02031 = CLE 01924 (3 p 160) = D 06037 = CAG-69-02, p 376	Lugudunensis	Lyon / Lugudunum					carmina	Mercurius hic lucrum / promittit Apollo salutem / Septumanus hospitium / cum prandio qui venerit / melius utetur post / hospes ubi maneas prospice	Mercurius hic lucrum promittit Apollo salutem Septumanus hospitium cum prandio qui venerit melius utetur post hospes ubi maneas prospice	Mercurius hic lucrum promittit Apollo salutem Septumanus hospitium cum prandio qui venerit melius utetur post hospes ubi maneas prospice			45.7578137	4.8320114			http://db.edcs.eu/epigr/partner.php?s_language=en&param=m|ce|1924;de-b0479			
EDCS-10500988	CIL 13, 02032 = CAG-69-02, p 617 = Krier-1981, 00016 = Alumnus 00026	Lugudunensis	Lyon / Lugudunum					nomen singulare;  servi/servae;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Terminalis Treveri / vixit annis XII / M(arcus) Sextius Marius / dominus alumno / p(onendum) c(uravit) et sub ascia dedic(avit)	D M Terminalis Treveri vixit annis XII M Sextius Marius dominus alumno p c et sub ascia dedic	Dis Manibus Terminalis Treveri vixit annis XII Marcus Sextius Marius dominus alumno ponendum curavit et sub ascia dedicavit			45.7578137	4.8320114		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_13_02032.jpg;$CIL_13_02032_1.jpg;$CIL_13_02032_2.jpg				
EDCS-10500989	CIL 13, 02033 = Lyon-01, 00282 = CAG-69-02, p 728 = Krier-1981, 00017	Lugudunensis	Lyon / Lugudunum					officium/professio;  tituli sepulcrales;  tria nomina;  viri	[D(is) M(anibus)] / [3 Mur]ranio(?) V[ero] / [civi] Trevero n[ego]/[tiat]ori vinar[io et] / [art]is cretar[iae] / [Lu]g(uduni) consist[enti] / [Mur]ran(ius?) Coni[3] / [f]rater et h[eres] / [Aga]tho(?) Apter[3] / [p(onendum?) c(uraverunt?)] et sub a[sc(ia) ded(icaverunt?)]	ranio V Trevero nori vinar is cretar g consist ran Coni rater et h tho Apter et sub a	Dis Manibus Murranio Vero civi Trevero negotiatori vinario et artis cretariae Luguduni consistenti Murranius Coni frater et heres Agatho Apter ponendum curaverunt et sub ascia dedicaverunt	lapis		45.7578137	4.8320114		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_13_02033.jpg;$CIL_13_02033_1.jpg;$VK_CIL_13_02033_2.jpg				
EDCS-10500990	CIL 13, 02034 = CAG-69-02, p 617	Lugudunensis	Lyon / Lugudunum					tituli sepulcrales	D(is) M(anibus) / et memoriae aeternae / Valerii Honorati / iuvenis optimi qui / vixit annis XXIII m(ense) I / d(iebus) XVI natione Troia/nensis Ianuarinia / Ianuaria mater mor/te eius orbata filio / pientissimo dul/cissimoq(ue) posterisq(ue) / suis p(onendum) c(uravit) et sub / asc(ia) dedicavit	D M et memoriae aeternae Valerii Honorati iuvenis optimi qui vixit annis XXIII m I d XVI natione Troianensis Ianuarinia Ianuaria mater morte eius orbata filio pientissimo dulcissimoq posterisq suis p c et sub asc dedicavit	Dis Manibus et memoriae aeternae Valerii Honorati iuvenis optimi qui vixit annis XXIII mense I diebus XVI natione Troianensis Ianuarinia Ianuaria mater morte eius orbata filio pientissimo dulcissimo que posteris que suis ponendum curavit et sub ascia dedicavit			45.7578137	4.8320114		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PP_CIL_13_02034.jpg;$PP_CIL_13_02034_1.jpg				
EDCS-10500991	CIL 13, 02035 = CAG-69-02, p 616	Lugudunensis	Lyon / Lugudunum					mulieres;  tituli sepulcrales;  viri	D(is) M(anibus) / et memoriae aeter(nae) / Valeri Sattioli civi[s] / Viennensis ex gente / Galerianorum negoti/atori artis ratiariae qui / vixit annis LXVI dieb(us) XVIIII / Nigidia Grata coniunx / quae cum eo vixit annis XXIIII / quae cum cognovit / cum esset annorum [3 ex] / quo genuit filium V[aleri]/um Sattia[num 3] / annor[um 3 et] filia[s Valeri]/am Attiolam annor[um 3] / et [V]aleriam Attiolam [min]/orem annorum VIII / coniugi et patri karissi/mo ponendum curave/runt et sub ascia [dedica]/verunt procurante Va[lerio 3] / nepote	D M et memoriae aeter Valeri Sattioli civi Viennensis ex gente Galerianorum negotiatori artis ratiariae qui vixit annis LXVI dieb XVIIII Nigidia Grata coniunx quae cum eo vixit annis XXIIII quae cum cognovit cum esset annorum quo genuit filium Vum Sattia annor filiaam Attiolam annor et aleriam Attiolam orem annorum VIII coniugi et patri karissimo ponendum curaverunt et sub ascia verunt procurante Va nepote	Dis Manibus et memoriae aeternae Valeri Sattioli civis Viennensis ex gente Galerianorum negotiatori artis ratiariae qui vixit annis LXVI diebus XVIIII Nigidia Grata coniunx quae cum eo vixit annis XXIIII quae cum cognovit cum esset annorum ex quo genuit filium Valerium Sattianum annorum et filias Valeriam Attiolam annorum et Valeriam Attiolam minorem annorum VIII coniugi et patri karissimo ponendum curaverunt et sub ascia dedicaverunt procurante Valerio nepote			45.7578137	4.8320114						
EDCS-10500992	CIL 13, 02036 = D 07723 = CAG-69-02, p 605	Lugudunensis	Lyon / Lugudunum					tituli sepulcrales	D(is) M(anibus) / et / memoriae aeternae / Valeriae Leucadiae infantis / dulcissimae quae vixit annis / VI d(iebus) XXX et / Virei Vitalis iuvenis incompa/rabilis ingeni(i) artis fabricae / ferrariae fratris eiusdem Leu/cadiae quorum mortem soli / XXX dies interfuerunt corpo/rato inter fabros tign(arios) Lugud(uni) / qui vixit ann(os) XVIIII m(enses) X d(ies) VIIII / cuius aetas talis fuit ut virgo / defunctus sit cuiusque sapien/tia omnibus amicis et parenti[b(us)] / admirabilis fuit huius de aeta[te] mors inique iudicavit / Val(erius) Maximus Vitricus qui eum / sibi filium adoptaverat et art[e] / educaverat in quo spem aeta/tis suae conlocaverat et Iu/lia Secundina mater infeli/cissima qui sibi ab eis id fieri spe/raverant et / Vireii Marinianus et Secundi/nianus et Val(erius) Secundinus fra/tres p(onendum) c(uraverunt) et sibi vivi sub asc(ia) dedic(averunt)	D M et memoriae aeternae Valeriae Leucadiae infantis dulcissimae quae vixit annis VI d XXX et Virei Vitalis iuvenis incomparabilis ingeni artis fabricae ferrariae fratris eiusdem Leucadiae quorum mortem soli XXX dies interfuerunt corporato inter fabros tign Lugud qui vixit ann XVIIII m X d VIIII cuius aetas talis fuit ut virgo defunctus sit cuius que sapientia omnibus amicis et parenti admirabilis fuit huius de aeta mors ini que iudicavit Val Maximus Vitricus qui eum sibi filium adoptaverat et art educaverat in quo spem aetatis suae conlocaverat et Iulia Secundina mater infelicissima qui sibi ab eis id fieri speraverant et Vireii Marinianus et Secundinianus et Val Secundinus fratres p c et sibi vivi sub asc dedic	Dis Manibus et memoriae aeternae Valeriae Leucadiae infantis dulcissimae quae vixit annis VI diebus XXX et Virei Vitalis iuvenis incomparabilis ingenii artis fabricae ferrariae fratris eiusdem Leucadiae quorum mortem soli XXX dies interfuerunt corporato inter fabros tignarios Luguduni qui vixit annos XVIIII menses X dies VIIII cuius aetas talis fuit ut virgo defunctus sit cuius que sapientia omnibus amicis et parentibus admirabilis fuit huius de aetate mors ini que iudicavit Valerius Maximus Vitricus qui eum sibi filium adoptaverat et arte educaverat in quo spem aetatis suae conlocaverat et Iulia Secundina mater infelicissima qui sibi ab eis id fieri speraverant et Vireii Marinianus et Secundinianus et Valerius Secundinus fratres ponendum curaverunt et sibi vivi sub ascia dedicaverunt			45.7578137	4.8320114		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_13_02036.jpg;$CIL_13_02036_1.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0056566;de-b0815;de-b0816			
EDCS-10500993	CIL 13, 02037 = CAG-69-02, p 608	Lugudunensis	Lyon / Lugudunum	201	250	201	250	nomen singulare;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / et memoriae ae/ternae Vareni / Lupi civis Agri/p(p)inen(sis) iuvenis / verecundissi(mi) / qui vixit ann(os) XX / m(enses) V[I]I d(ies) XV h[ic(?)] / iuventa [fatis] / erept[a] in [flo]/re sub tect[o iacet] / tituli fecit fra/ter Varenius Tau/[ri f(ilius) P]rovincia/[lis	D M et memoriae aeternae Vareni Lupi civis Agripinen iuvenis verecundissi qui vixit ann XX m VI d XV h iuventa erept in re sub tect tituli fecit frater Varenius Taurovincialis	Dis Manibus et memoriae aeternae Vareni Lupi civis Agrippinensis iuvenis verecundissimi qui vixit annos XX menses VII dies XV hic iuventa fatis erepta in flore sub tecto iacet tituli fecit frater Varenius Tauri filius Provincialis	lapis		45.7578137	4.8320114						201 to 250
EDCS-10500994	CIL 13, 02038 = CAG-69-02, p 608 = Alumnus 00027	Lugudunensis	Lyon / Lugudunum					liberti/libertae;  mulieres;  nomen singulare;  officium/professio;  servi/servae;  tituli sepulcrales;  tria nomina;  viri	Di{i}s Manibus / et memoriae Victoris / Aug(usti) lib(erti) de studentibus / qui vixit annos X m(enses) VI / d(ies) VI Aelius Silvester / Aug(usti) lib(ertus) et Abuccia Eu/terpe alumno cariss[im(o)] / posuerunt cur[ante] / Vesontico patre eiusd(em) / Victoris dulcissimi / et sub ascia dedicave/runt	Diis Manibus et memoriae Victoris Aug lib de studentibus qui vixit annos X m VI d VI Aelius Silvester Aug lib et Abuccia Euterpe alumno cariss posuerunt cur Vesontico patre eiusd Victoris dulcissimi et sub ascia dedicaverunt	Dis Manibus et memoriae Victoris Augusti liberti de studentibus qui vixit annos X menses VI dies VI Aelius Silvester Augusti libertus et Abuccia Euterpe alumno carissimo posuerunt curante Vesontico patre eiusdem Victoris dulcissimi et sub ascia dedicaverunt			45.7578137	4.8320114						
EDCS-10500995	CIL 13, 02039 = CAG-69-02, p 495	Lugudunensis	Lyon / Lugudunum					tituli sepulcrales	D(is) M(anibus) / et quieti aeternae C(ai) Victori / [Ta]urici(?) sive Quiguronis civis Lug(uduni) / incorporato inter utric(u)lar(ios) Lug(uduni) cons(istentes) / qui vixit sine ullius offensa ann(os) XVIII m(enses) / [3] d(ies) V Cass(ia) Taurina mater unic(o) fil(io) piiss(imo) / ponend(um) cur(avit) et sub asc(ia) dedic(avit)	D M et quieti aeternae C Victori urici sive Quiguronis civis Lug incorporato inter utriclar Lug cons qui vixit sine ullius offensa ann XVIII m d V Cass Taurina mater unic fil piiss ponend cur et sub asc dedic	Dis Manibus et quieti aeternae Cai Victori Taurici sive Quiguronis civis Luguduni incorporato inter utricularios Luguduni consistentes qui vixit sine ullius offensa annos XVIII menses dies V Cassia Taurina mater unico filio piissimo ponendum curavit et sub ascia dedicavit			45.7578137	4.8320114						
EDCS-10500996	CIL 13, 02040 = CAG-69-02, p 670	Lugudunensis	Lyon / Lugudunum						Memoriae / A(uli) Vitelli Valeri / hic annorum X / in studiis Romae de(cessit?) / parentes Nymphi[us(?)] / et Tyche uni[co] / et carissimo fil[io] / [	Memoriae A Vitelli Valeri hic annorum X in studiis Romae de parentes Nymphi et Tyche uni et carissimo fil	Memoriae Auli Vitelli Valeri hic annorum X in studiis Romae decessit parentes Nymphius et Tyche unico et carissimo filio			45.7578137	4.8320114						
