EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-80400137	EDCS 01288 {Manfred Clauss}	Italia	?	101	125	101	125	nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Romane(n)sis	Romanesis	Romanensis	opus figlinae	https://collections.louvre.fr/en/ark:/53355/cl010266290				http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_01288.jpg;$EDCS_01288_1.jpg				101 to 125
EDCS-81000098	EDCS 01314 {Manfred Clauss}	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Bic(irius) Agat(hopus)	Bic Agat	Bicirius Agathopus	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01314.jpg				
EDCS-81000099	EDCS 01315 {Manfred Clauss}	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	L(ucius) Caec(ilius) Sae(cularis)	L Caec Sae	Lucius Caecilius Saecularis	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01315.jpg				
EDCS-81000100	EDCS 01316 {Manfred Clauss}	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	L(ucius) Mun(atius) Suc(cessus)	L Mun Suc	Lucius Munatius Successus	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01316.jpg				
EDCS-81000101	EDCS 01317 {Manfred Clauss}	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Q(uintus) Reg() Pe()	Q Reg Pe	Quintus Reg Pe	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01317.jpg				
EDCS-81000102	EDCS 01318 {Manfred Clauss}	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(aius) Iul(ius) Phi(lippus)	C Iul Phi	Caius Iulius Philippus	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01318.jpg;$L_EDCS_01318_1.jpg				
EDCS-81000103	EDCS 01319 {Manfred Clauss}	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Serg(ius) Prim(us)	Serg Prim	Sergius Primus	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01319.jpg				
EDCS-81000096	EDCS 01332 {Manfred Clauss}	Italia	?					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Fortis	Fortis	Fortis	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01332.jpg				
EDCS-81000097	EDCS 01333 {Manfred Clauss}	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(ai) Oppi Res(tituti)	C Oppi Res	Cai Oppi Restituti	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01333.jpg				
EDCS-81000127	EDCS 01336 {Manfred Clauss}	Italia	?					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(ai) Oppi Res(tituti)	C Oppi Res	Cai Oppi Restituti	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01336.jpg				
EDCS-81000129	EDCS 01337 {Manfred Clauss}	Italia	?					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Sosianos	Sosianos	Sosianos	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01337_1.jpg;$L_EDCS_01337_2.jpg				
EDCS-81100015	EDCS 01345 {Manfred Clauss}	Italia	?					sigilla impressa;  tituli fabricationis	ELI	ELI	ELI	opus figlinae	Lampe				http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01345.jpg				
EDCS-81100021	EDCS 01347 {Manfred Clauss}	Italia	?					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Fortis	Fortis	Fortis	opus figlinae	https://collections.louvre.fr/en/ark:/53355/cl010263342				http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01347.jpg				
EDCS-81100022	EDCS 01351 {Manfred Clauss}	Italia	?	76	150	76	150	sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(ai) Oppi Res(tituti)	C Oppi Res	Cai Oppi Restituti	opus figlinae	https://collections.louvre.fr/en/ark:/53355/cl010284252				http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01351.jpg				76 to 150
EDCS-81100020	EDCS 01358 {Manfred Clauss}	Italia	?	1	100	1	100	nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Vale(n)s	Vales	Valens	opus figlinae	https://collections.louvre.fr/en/ark:/53355/cl010288316				http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01358.jpg				1 to 100
EDCS-81100019	EDCS 01359 {Manfred Clauss}	Italia	?	201	300	201	300	tituli possessionis	Mal() / Ius()	Mal Ius	Mal Ius	aurum	anulus, https://collections.louvre.fr/en/ark:/53355/cl010255644				http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_EDCS_01359.jpg				201 to 300
EDCS-81400079	EDCS 01369 {Manfred Clauss}	Italia	?					liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri	Calceia / Cn(aei) l(iberta) Hermiona / sibi et suis / C(aius) Volumnius Dama	Calceia Cn l Hermiona sibi et suis C Volumnius Dama	Calceia Cnaei liberta Hermiona sibi et suis Caius Volumnius Dama	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_01369.jpg				
EDCS-81400080	EDCS 01370 {Manfred Clauss}	Italia	?					tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) [s(acrum)] / Sariolen[o 3]/miaco v[ix(it) 3] / XX[3]	D M Sariolen miaco v XX	Dis Manibus sacrum Sarioleno miaco vixit XX	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_01370.jpg				
EDCS-81400081	EDCS 01371 {Manfred Clauss}	Italia	?					mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / [3]nius Felix / [3] Primigeniae / coniugi et sibi	D M nius Felix Primigeniae coniugi et sibi	Dis Manibus nius Felix Primigeniae coniugi et sibi	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_01371.jpg				
EDCS-81400082	EDCS 01372 {Manfred Clauss}	Italia	?					tituli sepulcrales;  viri	[Dis Manibus(?)] sacrum / [3]rori eorum / [3 E]uangelus cum su/[is 3 fe]cit idemq(ue) d(e)d(edicavit)	sacrum rori eorum uangelus cum su cit idemq dd	Dis Manibus sacrum rori eorum Euangelus cum suis fecit idem que dededicavit	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_01372.jpg				
EDCS-81400083	EDCS 01373 {Manfred Clauss}	Italia	?					mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) s(acrum) / C(ai) Caecili Natal/is fecit Pontenia Be/neria(!) marito suo / bene merenti	D M s C Caecili Natalis fecit Pontenia Beneria marito suo bene merenti	Dis Manibus sacrum Cai Caecili Natalis fecit Pontenia Beneria marito suo bene merenti	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_01373.jpg				
