EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-14804181	CIL 09, 03173 = CIL 09, 07243 = SupIt-03-Co, 00009 = D 05642 = Questori 00241 = ZPE-73-105 = Epigraphica-1990-142 = AE 1983, 00318 = AE 1990, 00231 = AE 1993, 00569	Samnium / Regio IV	Corfinio / Pentima / Corfinium	-49	-1	-49	-1	ordo decurionum;  tituli operum;  tria nomina;  viri	T(itus) Muttius P(ubli) f(ilius) Celer IIIIv(ir) q(uinquennalis) / theatrum emundum / gradus faciendos cura(vit) / senat(us)que consultum / fecit ut{ei} pe<c=Q>unia(m) a / populo pag{e}is retribueret	T Muttius P f Celer IIIIv q theatrum emundum gradus faciendos cura senat que consultum fecit utei peQunia a populo pageis retribueret	Titus Muttius Publi filius Celer IIII vir quinquennalis theatrum emundum gradus faciendos curavit senatus que consultum fecit ut pecuniam a populo pagis retribueret	lapis		42.123733	13.841504		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CI_CIL_09_07243.jpg;PH0004891;PH0004892	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0016198;N079015;N166860;cil09_p423;HD000643;de-b0399;bu_CIL%26bibl_volume=9%26bibl_subvolume=%26bibl_insc=3173			-49 to -1
EDCS-14804182	CIL 09, 03174 (p 1413)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	101	200	101	200	mulieres;  ordo decurionum;  tituli sepulcrales;  tria nomina;  viri	] / Ser(vio) I(u)cundo Cretasio / aed(ili) IIIIvir(o) iur(e) d(icundo) / qui vixit an(nos) XLII / men(ses) XI die(s) XVI / animae innocenti Osto/ria Minatia marito / p(osuit)	Ser Icundo Cretasio aed IIII vir iur d qui vixit an XLII men XI die XVI animae innocenti Ostoria Minatia marito p	Servio Iucundo Cretasio aedili IIII viro iure dicundo qui vixit annos XLII menses XI dies XVI animae innocenti Ostoria Minatia marito posuit	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p423;N177485			101 to 200
EDCS-14804183	CIL 09, 03175 (p 679, 1413)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	-50	-1	-50	-1	ordo decurionum;  tituli sepulcrales;  tria nomina;  viri	L(ucius) Sentius L(uci) f(ilius) Baetus / IIIIvir	L Sentius L f Baetus IIII vir	Lucius Sentius Luci filius Baetus IIII vir	lapis		42.123733	13.841504		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CI_CIL_09_03175.jpg;PH0004769;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0051747;cil09_p423-800;N176198			-50 to -1
EDCS-14804184	CIL 09, 03176 (p 1414)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	1	100	1	100	leges;  milites;  viri	[3]iavi V[3] / [3] legavit M[3] / [3] reditu eius [3] / [municipio] Corfiniensi et incol[is] / [3] T(iti) n(epos?) T(iti) pron(epos?) [	iavi V legavit M reditu eius Corfiniensi et incol T n T pron	iavi V legavit M reditu eius municipio Corfiniensi et incolis Titi nepos Titi pronepos	lapis		42.123733	13.841504		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CI_CIL_09_03176.jpg;PH0004770	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0051748;cil09_p423;N176600			1 to 100
EDCS-14804185	CIL 09, 03177 (p 1414)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	1	200	1	200	sacerdotes pagani;  viri	] pontif(ici?)	pontif	pontifici	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p423;N176601			1 to 200
EDCS-14804186	CIL 09, 03178 (p 1414)	Samnium / Regio IV	Corfinio / Pentima / Corfinium					ordo decurionum;  viri	IIIIvi]r i(ure) d(icundo)	IIII vir i d	IIII vir iure dicundo	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p423;N176602			
EDCS-14804187	CIL 09, 03179 (p 1414) = CIL 01, 03227	Samnium / Regio IV	Corfinio / Pentima / Corfinium	-70	-31	-70	-31	tituli operum;  viri	]S T(iti) f(ilius) P[3] / [3 fa]c(iendum) coer[av(it)]	S T f P c coer	S Titi filius P faciendum coeravit	lapis		42.123733	13.841504		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CI_CIL_09_03179.jpg;PH0004771;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0005439;cil09_p423;N176603			-70 to -31
EDCS-14804188	CIL 09, 03179a (p 1415)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	-100	-1	-100	-1	tituli operum	f]ac(iendum) coe[ravit(?) 3]	fac coe	faciendum coeravit	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p423;N176605			-100 to -1
EDCS-14804189	CIL 09, 03180 (p 1415)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	201	300	201	300	mulieres;  ordo equester;  seviri Augustales;  tituli honorarii;  tituli operum;  tria nomina;  viri	Mammiae / Aufidiae P(ubli) f(iliae) P(ubli) nep(oti) / P(ubli) pron(epti) Titeciae Ma/riae honestae puel/lae filia P(ubli) Mammi / Aufidi Priscini eq(uitis) R(omani) / huic ob benignitatem / patris qu<a=E>m circa ur/biculi secundi sevir(or)um / Augustalium honorem / e<g=C>erit statuam ex sua / pecunia posuerunt / l(ocus) d(atus) d(ecreto) d(ecurionum)	Mammiae Aufidiae P f P nep P pron Titeciae Mariae honestae puellae filia P Mammi Aufidi Priscini eq R huic ob benignitatem patris quEm circa urbiculi secundi sevirum Augustalium honorem eCerit statuam ex sua pecunia posuerunt l d d d	Mammiae Aufidiae Publi filiae Publi nepoti Publi pronepti Titeciae Mariae honestae puellae filia Publi Mammi Aufidi Priscini equitis Romani huic ob benignitatem patris quam circa urbiculi secundi sevirorum Augustalium honorem egerit statuam ex sua pecunia posuerunt locus datus decreto decurionum	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p423;N177339			201 to 300
EDCS-14804191	CIL 09, 03182 (p 1415)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	51	100	51	100	mulieres;  seviri Augustales;  tituli honorarii;  tria nomina;  viri	Rutiliae C(ai) f(iliae) / Paulinae sevir(i) / August(ales) patronae / ob merita patris et / ipsius p(osuit)	Rutiliae C f Paulinae sevir August patronae ob merita patris et ipsius p	Rutiliae Cai filiae Paulinae seviri Augustales patronae ob merita patris et ipsius posuit	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p423;N177354			51 to 100
EDCS-14804192	CIL 09, 03183 (p 1415)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	101	200	101	200	mulieres;  seviri Augustales;  tria nomina;  viri	Titiae / Valeriae uxori / Q(uinti) Corneli Domiti / patron(i) [c]ivita[t]is / et sevir(or)um Augus(talium)	Titiae Valeriae uxori Q Corneli Domiti patron ivita is et sevirum Augus	Titiae Valeriae uxori Quinti Corneli Domiti patroni civitatis et sevirorum Augustalium	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p424;N177357			101 to 200
EDCS-14804193	CIL 09, 03184 (p 1415) = CLE 01313 = CLERegio-IV 00031	Samnium / Regio IV	Corfinio / Pentima / Corfinium	51	100	51	100	carmina;  liberti/libertae;  mulieres;  tituli operum;  tituli sepulcrales;  tria nomina;  viri	Q(uinto) Caecilio / Q(uinti) f(ilio) Pal(atina) Optato / vixit an(nos) II me(nses) VI / Q(uintus) Caecilius Q(uinti) et |(mulieris) l(ibertus) / Hermes sevir Aug(ustalis) / Licinia Repentina / parentes piissimi posuer(unt) / et Q(uintus) Caecilius Q(uinti) f(ilius) Pal(atina) / Paelinus fratr(i) / hic iacet Optatus pietatis nobilis infa(n)s / cui precor ut cineres sint ia sintq(ue) rosae / terraq(ue) quae mater nunc est sibi sit levis oro / namque gravis nulli vita fuit pueri / ergo quod miseri possunt praestare parentes / hunc titulum nato constituere suo	Q Caecilio Q f Pal Optato vixit an II me VI Q Caecilius Q et l Hermes sevir Aug Licinia Repentina parentes piissimi posuer et Q Caecilius Q f Pal Paelinus fratr hic iacet Optatus pietatis nobilis infas cui precor ut cineres sint ia sintq rosae terraq quae mater nunc est sibi sit levis oro nam que gravis nulli vita fuit pueri ergo quod miseri possunt praestare parentes hunc titulum nato constituere suo	Quinto Caecilio Quinti filio Palatina Optato vixit annos II menses VI Quintus Caecilius Quinti et mulieris libertus Hermes sevir Augustalis Licinia Repentina parentes piissimi posuerunt et Quintus Caecilius Quinti filius Palatina Paelinus fratri hic iacet Optatus pietatis nobilis infans cui precor ut cineres sint ia sint que rosae terra que quae mater nunc est sibi sit levis oro nam que gravis nulli vita fuit pueri ergo quod miseri possunt praestare parentes hunc titulum nato constituere suo	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p424;m|ce|1313;N177380;bu_CIL%26bibl_volume=9%26bibl_subvolume=%26bibl_insc=3184			51 to 100
EDCS-14804194	CIL 09, 03185 (p 1416)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	51	100	51	100	liberti/libertae;  mulieres;  seviri Augustales;  tria nomina;  viri	Lucceiae C(ai) / l(ibertae) Fortuna/tae C(aius) Lucce/ius C(ai) l(ibertus) / Caprius / sevir Aug(ustalis) / coniugi / b(ene) m(erenti) / p(osuit)	Lucceiae C l Fortunatae C Lucceius C l Caprius sevir Aug coniugi b m p	Lucceiae Cai libertae Fortunatae Caius Lucceius Cai libertus Caprius sevir Augustalis coniugi bene merenti posuit	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p424;N177358			51 to 100
