EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-40800010	RRJ-01, 00007	Palaestina	Beit HaShita / Bet Hashitta / Qibbus Beth Hashitta / Scythopolis					Augusti/Augustae;  miliaria;  viri	Imp(eratori) Caesar(i) / P(ublio) Helvio Per/tinaci Aug(usto) / principi sena/tus pont(ifici) / maxim<o=I> tribun(icia) / pot(e)s(tate) co(n)s(uli) II p(atri) p(atriae) / III	Imp Caesar P Helvio Pertinaci Aug principi senatus pont maximI tribun pots cos II p p III	Imperatori Caesari Publio Helvio Pertinaci Augusto principi senatus pontifici maximo tribunicia potestate consuli II patri patriae III	lapis		32.5511686	35.4382682						
EDCS-40800009	RRJ-01, 00008	Palaestina	Beit HaShita / Bet Hashitta / Qibbus Beth Hashitta / Scythopolis					Augusti/Augustae;  miliaria;  viri	Imp(eratori) Caesar(i) / P(ublio) Helvio Pertina/ci Aug(usto) pri[nci]pi se/natus pont(ifici) / maxim<o=I> tribun(icia) / pot(e)s(tate) co(n)s(uli) II p(atri) p(atriae) / V // 	Imp Caesar P Helvio Pertinaci Aug pripi senatus pont maximI tribun pots cos II p p V	Imperatori Caesari Publio Helvio Pertinaci Augusto principi senatus pontifici maximo tribunicia potestate consuli II patri patriae V	lapis		32.5511686	35.4382682	GR					
EDCS-40800015	RRJ-01, 00009	Palaestina	Beit HaShita / Bet Hashitta / Qibbus Beth Hashitta / Scythopolis					Augusti/Augustae;  miliaria;  viri	Imp(eratori) Caesar(i) / P(ublio) Helvio Perti/naci Aug(usto) prin/cipi senatus pont(ifici) / maxim<o=I> tribun(icia) / pot(e)s(tate) co(n)s(uli) II	Imp Caesar P Helvio Pertinaci Aug principi senatus pont maximI tribun pots cos II	Imperatori Caesari Publio Helvio Pertinaci Augusto principi senatus pontifici maximo tribunicia potestate consuli II	lapis		32.5511686	35.4382682						
EDCS-40800007	RRJ-01, 00011	Palaestina	Beit HaShita / Bet Hashitta / Qibbus Beth Hashitta / Scythopolis					Augusti/Augustae;  miliaria;  viri	[Imp(eratori) Caes(ari) L(ucio) Septimio Severo Pio Pertinaci Aug(usto)] / A[rab(ico) Adiab(enico)] / Par[thic]o / et M(arco) Aur[e]lio / Antonino Au/g(usti) n(ostri) f(ilio) e[t P(ublio) Sep]t[i]/mio Ge[tae] Aug(usti) n(ostri) f(ilio)] // 	A Paro et M Aurlio Antonino Aug n f etmio Ge	Imperatori Caesari Lucio Septimio Severo Pio Pertinaci Augusto Arabico Adiabenico Parthico et Marco Aurelio Antonino Augusti nostri filio et Publio Septimio Getae Augusti nostri filio	lapis		32.5511686	35.4382682	GR					
EDCS-40800013	RRJ-01, 00012	Palaestina	Beit HaShita / Bet Hashitta / Qibbus Beth Hashitta / Scythopolis					Augusti/Augustae;  litterae erasae;  miliaria;  viri	Imp(eratori) Cae[s(ari) L(ucio) Se]/ptimio [Seve]/ro Pio [3] / Adi(abenico) Pa[r(thico) max(imo)] / et M(arco) Aure[lio An]/tonino Aug(usti) n(ostri) f(ilio) / [[[P(ublio) Septimio Getae Aug(usti) n(ostri) f(ilio)]]] // 	Imp Caeptimio ro Pio Adi Pa et M Auretonino Aug n f	Imperatori Caesari Lucio Septimio Severo Pio Adiabenico Parthico maximo et Marco Aurelio Antonino Augusti nostri filio Publio Septimio Getae Augusti nostri filio	lapis		32.5511686	35.4382682	GR					
EDCS-40800006	RRJ-01, 00014	Palaestina	Beit HaShita / Bet Hashitta / Qibbus Beth Hashitta / Scythopolis					Augusti/Augustae;  miliaria;  tituli operum;  viri	Imp(erator) Caesar M(arcus) Aur(elius) / Antoninus Pi/us Felix Aug(ustus) / Par[th]ic[us max(imus)] / Br[it]annicus / max(imus) pontifex / max(imus) trib(unicia) po/test(ate) XVII imp(erator) / II c[o(n)s(ul) IIII p(ater) p(atriae)] / proc[o(n)s(ul) vias] / et pont[es] / rest[it]uit	Imp Caesar M Aur Antoninus Pius Felix Aug Paric Brannicus max pontifex max trib potest XVII imp II c proc et pont restuit	Imperator Caesar Marcus Aurelius Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator II consul IIII pater patriae proconsul vias et pontes restituit	lapis		32.5511686	35.4382682						
EDCS-17200013	AE 1895, 00094	Palaestina	Beit She'an / Bet Sche'an / Beisan / Baithsan / Scythopolis					Augusti/Augustae;  miliaria;  viri	] / et [3] / [6] / et [1] Val[(erio?) 3] / cons(uli) [3] / nobiliss[(imis) 3] / Caes(aribus)	et et Val cons nobiliss Caes	et et Valerio consuli nobilissimis Caesaribus	lapis		32.4967519	35.4973022			http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1895-22			
EDCS-16600431	AE 1905, 00194	Palaestina	Beit She'an / Bet Sche'an / Beisan / Baithsan / Scythopolis					Augusti/Augustae;  miliaria;  tituli operum;  viri	] / [pontif(ex) max(imus)] / [tr(ibunicia) pot(estate)] XVI imp(erator) II / [co(n)s(ul)] III p(ater) p(atriae) proc(onsul) / [vias e]t ponte[s] / [resti]tuit // 	XVI imp II III p p proc t ponte tuit	pontifex maximus tribunicia potestate XVI imperator II consul III pater patriae proconsul vias et pontes restituit	lapis		32.4967519	35.4973022	GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD030567;1ae1905-49			
EDCS-16201068	AE 1924, 00131	Palaestina	Beit She'an / Bet Sche'an / Beisan / Baithsan / Scythopolis					milites;  tituli sepulcrales;  viri	[D(is)] M(anibus) / [3]us protec(tor) / [3]s vi<x=CS>it / [3] Marcianus / [3 cons]obrino / [3 p]osuerun(t)	M us protec s viit Marcianus obrino osuerun	Dis Manibus us protector s vixSit Marcianus consobrino posuerunt			32.4967519	35.4973022			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD026515;1ae1924-37			
EDCS-79500020	AE 1948, 00139	Palaestina	Beit She'an / Bet Sche'an / Beisan / Baithsan / Scythopolis	501	600	501	600	inscriptiones christianae;  tituli operum;  tria nomina;  viri				lapis	crux	32.4967519	35.4973022	GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1948-55			501 to 600
EDCS-79500021	AE 1948, 00140	Palaestina	Beit She'an / Bet Sche'an / Beisan / Baithsan / Scythopolis	509	510	509	510	inscriptiones christianae;  ordo senatorius;  tituli operum;  tria nomina;  viri				lapis	crux	32.4967519	35.4973022	GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1948-55;1ae1948-56			509 to 510
EDCS-09301273	AE 1977, 00831a	Palaestina	Beit She'an / Bet Sche'an / Beisan / Baithsan / Scythopolis					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Ann() Genialis	Ann Genialis	Ann Genialis	opus figlinae		32.4967519	35.4973022			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD020863			
EDCS-09301274	AE 1977, 00831b	Palaestina	Beit She'an / Bet Sche'an / Beisan / Baithsan / Scythopolis					sigilla impressa;  tituli fabricationis;  tria nomina	Aem() Hel()	Aem Hel	Aem Hel	opus figlinae		32.4967519	35.4973022			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD020866			
EDCS-09301275	AE 1977, 00831c	Palaestina	Beit She'an / Bet Sche'an / Beisan / Baithsan / Scythopolis					sigilla impressa;  tituli fabricationis;  tria nomina;  viri	[Le]v(ini) Gen(ialis)	v Gen	Levini Genialis	opus figlinae		32.4967519	35.4973022			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD020869			
EDCS-09301276	AE 1977, 00831d	Palaestina	Beit She'an / Bet Sche'an / Beisan / Baithsan / Scythopolis					sigilla impressa;  tituli fabricationis;  tria nomina	M() Iuc()	M Iuc	M Iuc	opus figlinae		32.4967519	35.4973022			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD020872			
EDCS-67200369	AE 2002, 01558	Palaestina	Beit She'an / Bet Sche'an / Beisan / Baithsan / Scythopolis	521	522	521	522		Ἐπὶ Φλ(αουίου) Ὀρέστου μεγαλοπρ(επεστάτου) / κόμ(ητος) καὶ ἄρχ(οντος) τὸ περιβοητὸν ἔργον / τῆς πλακώσεως μετὰ κ(αὶ) τοῦ νέου / ὑδρίου ἐγένετο προνοησαμένου / Σιλβίνου Μαρίνου λ(αμπροτάτου) κόμ(ητος) κ(αὶ) πρώτ(ου) ἐν ἰνδ(ικτιῶνι) ιεʹ / ἔτ(ους) επφʹ	Ἐπὶ Φλ Ὀρέστου μεγαλοπρ κόμ καὶ ἄρχ τὸ περιβοητὸν ἔργον τῆς πλακώσεως μετὰ κ τοῦ νέου ὑδρίου ἐγένετο προνοησαμένου Σιλβίνου Μαρίνου λ κόμ κ πρώτ ἐν ἰνδ ιεʹ ἔτ επφʹ	Ἐπὶ Φλαουίου Ὀρέστου μεγαλοπρεπεστάτου κόμητος καὶ ἄρχοντος τὸ περιβοητὸν ἔργον τῆς πλακώσεως μετὰ καὶ τοῦ νέου ὑδρίου ἐγένετο προνοησαμένου Σιλβίνου Μαρίνου λαμπροτάτου κόμητος καὶ πρώτου ἐν ἰνδικτιῶνι ιεʹ ἔτους επφʹ			32.4967519	35.4973022			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD044121			521 to 522
