EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-82400092	Germania-1924-66x	Barbaricum	Oberaden	-11	-8	-11	-8	milites;  praenomen et nomen;  tituli possessionis;  viri	|(Centuria) M(arci) C()	M C	Centuria Marci C	lignum		51.6141424	7.5898839			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD082343			-11 to -8
EDCS-82400093	Germania-1924-66y	Barbaricum	Oberaden	-11	-8	-11	-8	milites;  nomen singulare;  tituli possessionis;  viri	|(Centuria) L(uci) C()	L C	Centuria Luci C	lignum		51.6141424	7.5898839			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD082341			-11 to -8
EDCS-82400094	Germania-1924-66z	Barbaricum	Oberaden	-11	-8	-11	-8	milites;  praenomen et nomen;  tituli possessionis;  viri	|(Centuria) C(ai) Ani(ci?)	C Ani	Centuria Cai Anici	lignum		51.6141424	7.5898839			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD082340			-11 to -8
EDCS-80000078	CIL 13, 10036,82	Barbaricum	Oberhof					tituli possessionis	C() D() M() // L() C() S() // C() T() T() // C() I() M() // MVA // S() S() B() // CON // MCC // S() V() T() // T() T() L() // STC	C D M L C S C T T C I M MVA S S B CON MCC S V T T T L STC	C D M L C S C T T C I M MVA S S B CON MCC S V T T T L STC	aes	caccabus	50.7069793	10.7250321						
EDCS-80000082	CIL 13, 10036,87	Barbaricum	Obristui					nomen singulare;  tituli possessionis;  viri	Norbani	Norbani	Norbani	aes	caccabus								
EDCS-80000041	CIL 13, 10036,49a	Barbaricum	Odense					tituli possessionis;  tria nomina;  viri	[L(uci) Ansi Ep{h}ap(h)roditi	L Ansi Ephaproditi	Luci Ansi Epaphroditi	aes	caccabus	55.3997225	10.3852104						
EDCS-80000042	CIL 13, 10036,50b	Barbaricum	Odense					tituli fabricationis;  tria nomina;  viri	Cipi Polybi	Cipi Polybi	Cipi Polybi	aes	caccabus	55.3997225	10.3852104						
EDCS-80000043	CIL 13, 10036,50c	Barbaricum	Odense					tituli possessionis;  tria nomina;  viri	Cipi Polybi	Cipi Polybi	Cipi Polybi	aes	caccabus	55.3997225	10.3852104						
EDCS-80000044	CIL 13, 10036,59	Barbaricum	Odense					tituli possessionis	COIA+ // [3]acirom[3]	COIA acirom	COIA acirom	ferrum	gladius	55.3997225	10.3852104						
EDCS-80000062	CIL 13, 10036,64	Barbaricum	Odeshogs					nomen singulare;  tituli fabricationis;  viri	Marci m(anu)	Marci m	Marci manu	ferrum	gladius	58.183333	14.683333						
EDCS-29000418	CIL 03, 11028 = RIU-03, 00741	Barbaricum	Okolicna na Ostrove	151	300	151	300	milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Iulio Sereno m/i(liti) le(gionis) p(rimae) Ad(iutricis) st(ipendiorum) / IXX vi(xit) / annos XLVI Iul(ia) / Ru[f]ina coniux / et Terentius / f(aciendum) c(uraverunt) / E P V I C eius	D M Iulio Sereno mi le p Ad st IXX vi annos XLVI Iul Ruina coniux et Terentius f c E P V I C eius	Dis Manibus Iulio Sereno militi legionis primae Adiutricis stipendiorum IXX vixit annos XLVI Iulia Rufina coniux et Terentius faciendum curaverunt E P V I C eius			47.8056043	17.9163098			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038258			151 to 300
EDCS-29000417	CIL 03, 11064 = RIU-03, 00742	Barbaricum	Okolicna na Ostrove	1	300	1	300	mulieres;  tituli sepulcrales	]ariae Vital[3] / [3 sor]oribus Vita[3] / [3]ISCIAD[3] / [3]venna[	ariae Vital oribus Vita ISCIAD venna	ariae Vital sororibus Vita ISCIAD venna	lapis		47.8056043	17.9163098			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038259			1 to 300
EDCS-21000725	AE 2000, 01862	Barbaricum	Orgovany					milites;  tituli possessionis	Gem(ina)	Gem	Gemina	aes		46.7522776	19.473504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048249			
EDCS-48800069	IILPecs 00165	Barbaricum	Orgovany					milites;  sigilla impressa;  tituli possessionis	[Leg(ionis) X] // Gem(inae)	Gem	Legionis X Geminae	opus figlinae		46.7522776	19.473504						
EDCS-68600063	CIL 03, 00780 = CIL 03, 07519 = IOSPE-02-01, 00001 = INBS-01, 00112	Barbaricum	Orliwka	161	217	161	217	Augusti/Augustae;  milites;  tituli sacri;  viri	]L[3] / [(Iovi)] O(ptomo) M(aximo) / sacrum [p]ro salute [3] / [3 Imp(eratoris)] M(arci) Aur(eli) Anton[ini Augusti // ] / EV[3] / VS[3] / TO[3] / FIL[ // ] / RE [3] / RES[3] / B[ // ]A AH[3] / [3]A[ // ]GALC / [3 l]eg(ionis) V M(a)c(edonicae) / [3]IB VI[3] / [3]O[	L O M sacrum ro salute M Aur Anton EV VS TO FIL RE RES BA AH AGALC eg V Mc IB VI O	L Iovi Optomo Maximo sacrum pro salute Imperatoris Marci Aureli Antonini Augusti EV VS TO FIL RE RES B A AH A GALC legionis V Macedonicae IB VI O	lapis		45.321632	28.445560			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043352			161 to 217
EDCS-80000075	CIL 13, 10036,78	Barbaricum	Ostroda / Osterode					tituli possessionis	?			opus figlinae	Schüssel, Text nicht überliefert	53.7028533	19.9623028						
EDCS-40500002	Puteoli-01, 00001	Barbaricum	Praha / Prag						Felix pie zesaes cum tuis // stadiu(m) solariu(m) Lari strata pos() foru(m) Isiu(m) / Put<e=I>oli // Pilae // pe/la/gu(m) // amp(h)itheat(rum) theatru(m) decatria // ordion pales C(a)esari Nimisia // ortesiana rip(a) / inpuriu(m) sacoma	Felix pie zesaes cum tuis stadiu solariu Lari strata pos foru Isiu PutIoli Pilae pelagu ampitheat theatru decatria ordion pales Cesari Nimisia ortesiana rip inpuriu sacoma	Felix pie zesaes cum tuis stadium solarium Lari strata pos forum Isium Puteoli Pilae pelagum amphitheatrum theatrum decatria ordion pales Caesari Nimisia ortesiana ripa inpurium sacoma	vitrum		50.0874654	14.4212535		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Puteoli_00001.jpg;$Puteoli_00001_1.jpg;$Puteoli_00001_2.jpg;$Puteoli_00001_3.jpg				
EDCS-62600428	CIL 13, 10006,083	Barbaricum	Putzchen					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Satto f(ecit)	Satto f	Satto fecit	opus figlinae		50.7430602	7.1494886						
EDCS-80000071	CIL 13, 10036,74	Barbaricum	Pyrzyce / Pyritz					tituli fabricationis;  tria nomina;  viri	P(ubli) Cipi Pil<y=I>b<i=Y>	P Cipi PilIbY	Publi Cipi Pilybi	aes	caccabus	53.145700	14.892670						
EDCS-13900611	ZPE-52-213 = AE 1951, 00263	Barbaricum	Qobustan Qorugu						Imp(eratore) Domitiano / Caesare Aug(usto) / Germanic(o) / L(ucius) Iulius / Maximus |(centurio) / leg(ionis) XII Ful(minatae)	Imp Domitiano Caesare Aug Germanic L Iulius Maximus leg XII Ful	Imperatore Domitiano Caesare Augusto Germanico Lucius Iulius Maximus centurio legionis XII Fulminatae			40.1117269	49.3787529		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1951_00263.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021508;1ae1951-75;1ae1951-76			
EDCS-09300482	RIU-S, 00213 = TitAq-02, 00934 = AE 1976, 00550 = AE 2018, +01309	Barbaricum	Rakoscsaba	201	250	201	250	milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) / Iunoni Re/g[in]ae Nep/[t]uno Silv/[an]o M(arcus) U[lpiu]s / Silvanus / s(ignifer) leg(ionis) II Adi(utricis) / P(iae) F(idelis) / v(otum) s(olvit) l(ibens) m(erito)	I O M Iunoni Regae Nepuno Silvo M Us Silvanus s leg II Adi P F v s l m	Iovi Optimo Maximo Iunoni Reginae Neptuno Silvano Marcus Ulpius Silvanus signifer legionis II Adiutricis Piae Fidelis votum solvit libens merito	lapis		47.480440	19.2991166			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD012345			201 to 250
EDCS-75000269	CIL 13, 10025,189 = AiRh-2011-92 = AE 2016, 01135	Barbaricum	Rheindorf	201	300	201	300	mulieres;  nomen singulare;  tituli possessionis	Merveifa vivas tuis	Merveifa vivas tuis	Merveifa vivas tuis	vitrum		51.0528023	6.9487853		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_2016_01135.jpg;$K_IKoeln_00790.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD081817			201 to 300
EDCS-80000054	Cil 13, 10036,54	Barbaricum	Ringe					nomen singulare;  tituli fabricationis;  viri	Nigellio f(ecit)	Nigellio f	Nigellio fecit	aes	caccabus	55.2351317	10.481895						
EDCS-32601988	AEA 2001/02, 00137	Barbaricum	Ringelsdorf						[3]mmianus	mmianus	mmianus			48.5604539	16.8716591						
EDCS-44200268	AE 2006, 01087	Barbaricum	Roseldorf						G(eminae) P(iae) F(idelis)	G P F	Geminae Piae Fidelis			48.6454797	15.9294101						
EDCS-80000045	CIL 13, 10036,49b	Barbaricum	Rumperup					tituli fabricationis;  tria nomina;  viri	[L(uci) Ansi Ep]{h}ap(h)ro[diti]	hapro	Luci Ansi Epaphroditi	aes	caccabus	55.7	11.35						
EDCS-80000085	CIL 13, 10036,90	Barbaricum	Sackra					Augusti/Augustae;  nomen singulare;  tituli sacri;  viri	Num(ini) / Aug(usti) // Num(ini) Aug(usti) // Avitus	Num Aug Num Aug Avitus	Numini Augusti Numini Augusti Avitus	aes	Vierfuß								
EDCS-67400424	AE 2012, 01188	Barbaricum	Sandorfalva					Augusti/Augustae;  diplomata militaria;  milites;  tituli sacri;  viri	Imp(erator) Caesar [divi Nervae f(ilius) Nerva Traianus Op]timus Aug(ustus) G[er(manicus) Dacic(us) pontif(ex) max(imus) tribunic(ia) po]test(ate) XVI[II(?) imp(erator) 3 co(n)s(ul) VI p(ater) p(atriae) / equitibus [et peditibus qui mil(itaverunt) in al(is) 3 et in cohorti]bus d[ecem(?)	Imp Caesar timus Aug Gtest XVIII imp cos VI p p equitibus bus decem	Imperator Caesar divi Nervae filius Nerva Traianus Optimus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVIII imperator consul VI pater patriae equitibus et peditibus qui militaverunt in alis et in cohortibus decem	aes		46.3657365	20.1042174						
EDCS-80000070	CIL 13, 10036,71	Barbaricum	Schwinkendorf					tituli possessionis;  tria nomina;  viri	T(iti) Papiri Lib()	T Papiri Lib	Titi Papiri Lib	aes	caccabus	53.6425652	12.6847227						
