EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-08400704	CIL 12, 00128 (p 805) = ILAlp-01, 00038	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima	1	100	1	100	liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri	T(ito) Vireio / Onesimo / Vireia Colchis / uxor h(eres) / L(ucius) Cassius Erastus / h(eres) / [T(itus) Virei]us Alcimus / conl(ibertus)	T Vireio Onesimo Vireia Colchis uxor h L Cassius Erastus h us Alcimus conl	Tito Vireio Onesimo Vireia Colchis uxor heres Lucius Cassius Erastus heres Titus Vireius Alcimus conlibertus	lapis		45.5573093	6.6522217			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065614			1 to 100
EDCS-08400705	CIL 12, 00129a (p 805) = CIL 12, 05715 = ILAlp-01, 00021 = CAG-73, p 92 = Rosso 00269	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima	1	400	1	400	Augusti/Augustae;  tituli honorarii;  viri	Im[p(erator)	Imp	Imperator	lapis		45.5573093	6.6522217			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065578			1 to 400
EDCS-08400706	CIL 12, 00129b (p 805) = ILAlp-01, 00022 = CAG-73, p 88	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima	1	300	1	300		[3]R / [3]EL / [	R EL	R EL	lapis		45.5573093	6.6522217			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065579			1 to 300
EDCS-08400707	CIL 12, 00129c = ILAlp-01, 00049 = CAG-73, p 93	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima	1	300	1	300		]NL[3] / [3]SOBIV[	NL SOBIV	NL SOBIV	lapis		45.5573093	6.6522217			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065628			1 to 300
EDCS-08400708	CIL 12, 00130 (p 805) = ILAlp-01, 00039 = CAG-73, p 98	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima	51	100	51	100	tituli sepulcrales;  viri	[Dis] Ma[nibus(?)] / [3] fil[i]u[s	Ma fil us	Dis Manibus filius			45.5573093	6.6522217			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065615			51 to 100
EDCS-09302658	CIL 12, 05711 = ILAlp-01, 00009 = CAG-73, p 88 = MEFR-2000-913	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima	41	68	41	68	Augusti/Augustae;  tituli honorarii;  viri	Ti(beri) Cla]udi [Caesaris] / [Au]gusti [Germanici] / [Impe]ratoris [	Ti Claudi gusti ratoris	Tiberi Claudi Caesaris Augusti Germanici Imperatoris	lapis		45.5573093	6.6522217			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065380			41 to 68
EDCS-09302659	CIL 12, 05712 = CIL 12, 05713 = ILAlp-01, 00010 = CAG-73, p 88 = MEFR-2000-913	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima	69	79	69	79	Augusti/Augustae;  tituli honorarii;  viri	[Pr]o(?) [sal(ute) Imp(eratoris?)] / [Ve]spa[siani(?)] / [Ca]esar[is Aug(usti)] / [	o spa esar	Pro salute Imperatoris Vespasiani Caesaris Augusti	lapis		45.5573093	6.6522217			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065381			69 to 79
EDCS-09302660	CIL 12, 05714 = ILAlp-01, 00019 = CAG-73, p 88 = Rosso 00263	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima	301	400	301	400	Augusti/Augustae;  tituli honorarii;  viri	Bono [rei publicae] / nato v[ictori ac(?)] / conser[vatori orbis(?)] / d(omino) n(ostro) [	Bono nato v conser d n	Bono rei publicae nato victori ac conservatori orbis domino nostro	lapis		45.5573093	6.6522217			http://db.edcs.eu/epigr/partner.php?s_language=en&param=S2642;HD065576			301 to 400
EDCS-09302663	CIL 12, 05719 = ILAlp-01, 00044 = CAG-73, p 88	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima	1	300	1	300		]DIS[	DIS	DIS	lapis		45.5573093	6.6522217			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065620			1 to 300
EDCS-35200016	Epigraphica-1985-57	Alpes Graiae	Aime / Aime-en-Tarentaise / Axima					Augusti/Augustae;  litterae erasae;  tituli honorarii;  viri	Imp(eratori) Caes(ari) / [[[M(arco) Aurel(io) Carino]]] / Pio Fel(ici) [Invicto Aug(usto)	Imp Caes Pio Fel Invicto Aug	Imperatori Caesari Marco Aurelio Carino Pio Felici Invicto Augusto			45.5573093	6.6522217		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica_1985_57.jpg				
