EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-73600072	Thomsen-1917, 00079b	Arabia	Busra / Bostra	114	114	114	114	Augusti/Augustae;  miliaria;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caesar divi Nervae fil(ius) Nerva Traianus Aug(ustus) Germanicus Dacicus pont(ifex) maximus trib(unicia) pot(estate) XVIII imp(erator) VII co(n)s(ul) VI p(ater) p(atriae) redacta in formam provinciae Arabia viam novam a finibus Syriae usque ad mare rubrum aperuit et stravit per C(aium) Claudium Severum leg(atum) Aug(usti) pro pr(aetore)	Imp Caesar divi Nervae fil Nerva Traianus Aug Germanicus Dacicus pont maximus trib pot XVIII imp VII cos VI p p redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare rubrum aperuit et stravit per C Claudium Severum leg Aug pro pr	Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVIII imperator VII consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare rubrum aperuit et stravit per Caium Claudium Severum legatum Augusti pro praetore	lapis		32.5191381	36.4805732						114 to 114
EDCS-73600073	Thomsen-1917, 00079c	Arabia	Busra / Bostra	214	214	214	214	miliaria;  ordo senatorius;  tria nomina;  viri	per] [Furni]um(?) [Iulianum(?)] legatum pro pr[aetore	per um legatum pro praetore	per Furnium Iulianum legatum pro praetore	lapis		32.5191381	36.4805732						214 to 214
EDCS-73600074	Thomsen-1917, 00079d	Arabia	Busra / Bostra					miliaria	m(ilia) p(assuum) XVII // 	m p XVII	milia passuum XVII	lapis		32.5191381	36.4805732	GR					
EDCS-73600075	Thomsen-1917, 00079e	Arabia	Busra / Bostra	285	292	285	292	miliaria	[Imp(eratori)] C[ae]s[ari C(aio) Aur(elio)] Va[lerio Diocletiano	Cs Valerio Diocletiano	Imperatori Caesari Caio Aurelio Valerio Diocletiano	lapis		32.5191381	36.4805732						285 to 292
EDCS-73600076	Thomsen-1917, 00080a	Arabia	Busra / Bostra					miliaria	?			lapis		32.5191381	36.4805732						
EDCS-73600077	Thomsen-1917, 00080b	Arabia	Busra / Bostra					miliaria	?			lapis		32.5191381	36.4805732						
EDCS-73600078	Thomsen-1917, 00080c	Arabia	Busra / Bostra					miliaria	?			lapis		32.5191381	36.4805732						
EDCS-73600079	Thomsen-1917, 00081a	Arabia	Busra / Bostra	114	114	114	114	Augusti/Augustae;  miliaria;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caesar divi Nervae fil(ius) Nerva Traianus Aug(ustus) Germanicus Dacicus pont(ifex) maximus trib(unicia) pot(estate) XVIII imp(erator) VII co(n)s(ul) VI p(ater) p(atriae) redacta in formam provinciae Arabia viam novam a finibus Syriae usque ad mare rubrum aperuit et stravit per C(aium) Claudium Severum leg(atum) Aug(usti) pro pr(aetore)	Imp Caesar divi Nervae fil Nerva Traianus Aug Germanicus Dacicus pont maximus trib pot XVIII imp VII cos VI p p redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare rubrum aperuit et stravit per C Claudium Severum leg Aug pro pr	Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVIII imperator VII consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare rubrum aperuit et stravit per Caium Claudium Severum legatum Augusti pro praetore	lapis		32.5191381	36.4805732						114 to 114
EDCS-73600080	Thomsen-1917, 00081b	Arabia	Busra / Bostra	193	193	193	193	Augusti/Augustae;  miliaria;  ordo senatorius;  tria nomina;  viri	Imp(erator) Caesar P(ublius) Helvius Pertinax Aug(ustus) princeps senatus co(n)s(ul) II pontifex maximus trib(unicia) potestate p(ater) p(atriae) et Caesar P(ublius) Helvius Pertinax filius princeps iuventutis per P(ublium) Aelium Severianu(m) Maximum leg(atum) Aug(usti) pro praetorem [m(ilia) p(assuum)] XIX // 	Imp Caesar P Helvius Pertinax Aug princeps senatus cos II pontifex maximus trib potestate p p et Caesar P Helvius Pertinax filius princeps iuventutis per P Aelium Severianu Maximum leg Aug pro praetorem XIX	Imperator Caesar Publius Helvius Pertinax Augustus princeps senatus consul II pontifex maximus tribunicia potestate pater patriae et Caesar Publius Helvius Pertinax filius princeps iuventutis per Publium Aelium Severianum Maximum legatum Augusti pro praetorem milia passuum XIX	lapis		32.5191381	36.4805732	GR					193 to 193
EDCS-73600081	Thomsen-1917, 00081c	Arabia	Busra / Bostra	214	214	214	214	Augusti/Augustae;  miliaria;  ordo senatorius;  tria nomina;  viri	Imp(erator) Caes(ar) M(arcus) Aurelius Severus Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britan(n)icus max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atrae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) m(ilia) p(assuum) XIIII // 	Imp Caes M Aurelius Severus Antoninus Pius Felix Aug Parthicus max Britanicus max pont max trib pot XVII imperator III cos IIII p p procos per Furnium Iulianum leg pr pr cos des m p XIIII	Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patrae proconsul per Furnium Iulianum legatum pro praetore consulem designatum milia passuum XIIII	lapis		32.5191381	36.4805732	GR					214 to 214
