EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-05100290	CIL 05, 05137	Transpadana / Regio XI	Bergamo / Bergomum	1	100		M(arco) Cornelio M(arci) f(ilio) Pr() / Iuliae G(ai!) f(iliae) Maxumae(!) / M(arco) Cornelio M(arci) f(ilio) / Reburro IIIIvir(o) / aed(ilicia) pot(estate)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p552;N092047 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092047&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05137.jpg;$CIL_05_05137_1.jpg;pp
EDCS-05100291	CIL 05, 05138 = Questori 00441	Transpadana / Regio XI	Bergamo / Bergomum	91	120	milites; ordo decurionum; ordo equester; tituli honorarii; tria nomina; viri	] / M(arco) Maesio M(arci) f(ilio) / Vot(uria) Maximo / praef(ecto) fabr(um) / IIIIvir(o) i(ure) d(icundo) q(uinquennali) / patrono / d(ecreto) d(ecurionum)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p552;N092048 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092048&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05138.jpg;pp
EDCS-05100292	CIL 05, 05139 = Questori 00440	Transpadana / Regio XI	Bergamo / Bergomum	71	100	mulieres; ordo decurionum; tituli sepulcrales; tria nomina; viri	Pupia M(arci) f(ilia) Secunda v(iva) f(ecit) / Q(uinto) Sulpicio Q(uinti) f(ilio) Rufo / IIIIvir(o) q(uinquennali) viro / Q(uinto) Sulpicio Q(uinti) f(ilio) Sedato / IIIIvir(o) i(ure) d(icundo) filio			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p552;N092049 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092049&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05139.jpg;$CIL_05_05139_1.jpg;$CIL_05_05139_2.jpg;pp
EDCS-05100293	CIL 05, 05140	Transpadana / Regio XI	Bergamo / Bergomum	1	50		Q(uintus) Rustius M(arci) f(ilius) Secundus / IIIIvir / Varia M(arci) f(ilia) Tertia mater			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p552;N092050 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092050&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05140.jpg;$CIL_05_05140_1.jpg;pp
EDCS-05100294	CIL 05, 05141 = Caro 00110	Transpadana / Regio XI	Bergamo / Bergomum	1	100	liberti/libertae	] / Pr[3] / IIIIIIvir(o) [3] / Q(uinti) l(iberto) Verecundo Av[3] / et Vibiae Q(uinti) l(ibertae) / Verecundae / t(estamento) f(ieri) i(ussit)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p552;N092051 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092051&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05141.jpg;$CIL_05_05141_1.jpg;pp
EDCS-05100295	CIL 05, 05142	Transpadana / Regio XI	Bergamo / Bergomum	1	100		]E R[3] / IIIII[Ivir 3] / Vibia [3] / Patr[3] / P(ublius) Pomp[3] / [3]D[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p552;N092052 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092052&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05142.jpg;$CIL_05_05142_1.jpg;pp
EDCS-05100296	CIL 05, 05143	Transpadana / Regio XI	Bergamo / Bergomum				] XVIIvir [			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092053 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092053&partId=1	45.6944947	9.6698727			
EDCS-05100297	CIL 05, 05144	Transpadana / Regio XI	Bergamo / Bergomum	1	50		P(ublius) Rubrius / Theophilus / paedagogus / Rubriae sibi et su(is)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092054 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092054&partId=1	45.6944947	9.6698727			
EDCS-05100298	CIL 05, 05145	Transpadana / Regio XI	Bergamo / Bergomum	51	100	liberti/libertae	Sponsor l(ibertus) / C(aio) Statio C(ai) l(iberto) / Fausto / negotiatori / et / Vitulliae Sex(ti) f(iliae) / Tertiae uxori			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092055 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092055&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05145.jpg;$CIL_05_05145_1.jpg;pp
EDCS-05100299	CIL 05, 05146	Transpadana / Regio XI	Bergamo / Bergomum	101	200	tituli sepulcrales	D(is) M(anibus) / L(ucio) Aelio Tauro / qui vixit ann(os) / XXI dies XXXXV / Fannia Severa / mater filio / pientissimo / et sibi et Aelio / Lucio marito / karissimo / v(iva) f(ecit)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092056 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092056&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05146.jpg;$CIL_05_05146_1.jpg;pp
