EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-23100758	CIL 11, 05954	Umbria / Regio VI	Acqualagna / Pitinum Mergens	-200	-1	tituli sacri	Hercoli Primogenio sac(rum)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N106991 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR106991&partId=1	43.6258843	12.6759738			
EDCS-23100759	CIL 11, 05954a	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101	200	seviri Augustales; tituli sacri; tria nomina; viri	L(ocus) d(atus) // [d(ecreto) d(ecurionum)] / Hygiae Salu[3] / pro salute m[uniipi Pit(ini) Merg(entis)] / C(aius) Messius Zosimu[s VIvir Aug(ustalis) hic] / et Foro Sempro[ni			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N106994 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR106994&partId=1	43.6258843	12.6759738			
EDCS-23100760	CIL 11, 05954b	Umbria / Regio VI	Acqualagna / Pitinum Mergens	-27	51	milites; praenomen et nomen; tituli sacri; viri	Silvano / Aug(usto) / L(ucius) Paccelis / primipil(us!) / ex vot(o) susc(epto)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N106995 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR106995&partId=1	43.6258843	12.6759738			
EDCS-23100761	CIL 11, 05955	Umbria / Regio VI	Acqualagna / Pitinum Mergens	138	150	Augusti/Augustae; ordo decurionum; tituli sacri; viri	Divo / [Ha]driano / [dec]uriones et / [pleb]s urbana			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107065 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107065&partId=1	43.6258843	12.6759738			
EDCS-23100762	CIL 11, 05956	Umbria / Regio VI	Acqualagna / Pitinum Mergens	139	139	Augusti/Augustae; tituli honorarii; viri	] / Antonino Aug(usto) / Pio pont(ifici) max(imo) / tribunic(ia) potest(ate) / co(n)s(uli) II desig(nato) III p(atri) p(atriae) / pueri et puellae qui / ex liberalitate / eius alimenta / accipiunt			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107066 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107066&partId=1	43.6258843	12.6759738			
EDCS-23100763	CIL 11, 05957	Umbria / Regio VI	Acqualagna / Pitinum Mergens	149	149	Augusti/Augustae; mulieres; tituli honorarii; viri	[M(arco) Aelio Aurelio Caesari co(n)s(uli) II imp(eratori) Caesaris] / T(iti) Aeli Ha[driani] / Antonini Aug(usti) / Pii pont(ificis) max(imi) / trib(unicia) potest(ate) XIII / imp(eratoris) II co(n)s(ulis) IIII p(atris) p(atriae) / filio / pueri et puellae / alimentari(i)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107067 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107067&partId=1	43.6258843	12.6759738			
EDCS-23100764	CIL 11, 05958	Umbria / Regio VI	Acqualagna / Pitinum Mergens	255	256	Augusti/Augustae; tituli honorarii; viri	P(ublio) Cornelio Licinio Valeriano / nobil(issimo) Caes(ari) [pr]inc(ipi) iuven(tutis) [f]ilio Imp(eratoris) / Caes(aris) [P(ubli) L]icini Egnati Ga[l]lien[i] P[ii F]e[l(icis)] / Aug(usti) nepoti Imp(eratoris) Caes(aris) P(ubli) Licini [Valeri]ani / Pi[i] Felici[s			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107074 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107074&partId=1	43.6258843	12.6759738			
EDCS-23100765	CIL 11, 05959 = Legio-XXX, 00023	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101	150	milites; ordo equester; ordo senatorius; sacerdotes pagani; tituli honorarii; tria nomina; viri	C(aio) Saguro / C(ai) f(ilio) Clu(stumina) Prisco / pr(aetori) design(ato) trib(uno) pl(e)b(is) / quaestori urban(o) / praef(ecto) equit(um) alae / prim(ae) Flaviae ci/vium R(omanorum) trib(uno) legio/nis XXX Ulpiae Vic/tricis praef(ecto) coh(ortis) / III Lingon(um) equita/tae praef(ecto) fabr(um) / IIIIvir(o) quinq(uennali) / pontific(i) patron(o) / municipi(i) / decuriones et / plebs urbana			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107075;CO0003876 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0003876 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107075&partId=1	43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0002703;pp
EDCS-23100766	CIL 11, 05960 = CBI 00875	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101	150	liberti/libertae; milites; nomen singulare; ordo decurionum; tituli operum; tria nomina; viri	C(aio) Ligustinio / C(ai) f(ilio) Clu(stumina) Diserto / |(centurioni) leg(ionis) XX V(aleriae) V(ictricis) / |(centurioni) leg(ionis) IIII Scythicae / item |(centurioni) leg(ionis) XX V(aleriae) V(ictricis) / evocato Aug(usti) / benef(iciario) praef(ecti) praet(oriae) / Eutyches lib(ertus) / patrono optimo / ob merita / cuius dedicatione / decurionib(us) et plebei / crus[tu]lum et mulsum / dedit			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107076;CO0003877 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0003877 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107076&partId=1	43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0002704;pp
EDCS-23100767	CIL 11, 05961 = D 05580 = Campedelli 00114 = Engfer-2017, 00329	Umbria / Regio VI	Acqualagna / Pitinum Mergens	1	200	ordo decurionum; tituli operum; tria nomina; viri	L(ucius) Fuficius L(uci) f(ilius) Manilius / IIIIvir nomine / L(uci) Fufici L(uci) f(ilii) Capitonis fili(i) / sui IIIIvir(i) viam / et aream macelli / silice stravit ex / pecunia et vectura sua			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107077;de_21dessuoft%23page/389/mode/2up | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107077&partId=1	43.6258843	12.6759738			
