EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-04900462	SRD 00908 = AE 1992, 00887	Sardinia	Aidumajore / Aidomaggiore	1	100	tituli sepulcrales; tria nomina; viri	Urseti Nercauni			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N132602;CO0127078 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0127078 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR132602&partId=1	40.170753	8.856527			
EDCS-64901013	Sardinia p 311 = SRD 01236	Sardinia	Aidumajore / Aidomaggiore	1	100	tituli sepulcrales	(A)ecle Kris[3]			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N139778 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR139778&partId=1	40.170753	8.856527			
EDCS-14100377	AfrRom-15-02-1545 = SRD 01049 = ICS-ARD, 00001 = AE 1999, 00809	Sardinia	Aldara / Ardara	401	600	inscriptiones christianae; tituli sepulcrales	an]/nos p(lus) m(inus) XLV / requieit in / [p]ace V Kalen/das Iunias / per ind(ictionem) oc/taa(m)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N153012;CO0095438 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0095438 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR153012&partId=1	40.621761	8.810319			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ISC-ARD_00001.jpg
EDCS-33600037	AfrRom-15-02-1549 = SRD 01050 = AE 2004, 00674	Sardinia	Aldara / Ardara	1	74	milites; nomen singulare; tituli sepulcrales; viri	Orcoeta / [B]ihonis(?) f(ilius) / Con(venus) mil(es) ex / [coh]or(te) Aq/[ui]t(anorum) anno(rum) / [1]XXI H M / [			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N155748;CO0095437 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0095437 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR155748&partId=1	40.621761	8.810319			
EDCS-05000368	ILSard-01, 00236 = AfrRom-08-02-695 = SRD 00705 = Porra 00519 = AE 1991, 00907b	Sardinia	Aldara / Ardara	101	300	ordo equester; tria nomina; viri	[3] L(uci?) Iul[i(?) Castrici(?)] / equiti[s(?) Romani(?)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N155123;CO0020928 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0020928 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR155123&partId=1	40.621761	8.810319			
EDCS-55702048	SRD 00993 = AE 2009, 00459	Sardinia	Aldara / Ardara	1	100	nomen singulare; tituli sepulcrales; viri	Sedecami / [A]ronis(?) f(ilii) vixit an(nos) / [1]XXIIX H()			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N153001 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR153001&partId=1	40.621761	8.810319			
EDCS-70900054	Tedde-01, p 51	Sardinia	Aldara / Ardara			viri	[3]atus Ian[uarius(?) 3] / [3 fece]runt(?)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N155746 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR155746&partId=1	40.621761	8.810319			
EDCS-72800073	AfrRom-20-2419 = Longu-01 = EpRom 2015_13_004	Sardinia	Alghero	101	200	tituli sepulcrales	Ca]ecil[i 3] / [3] Agat[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=er_1665	40.5600205	8.3151473			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Longu-01_1.jpg;$Longu-01_2.jpg
EDCS-23000054	CIL 10, 08056,116d	Sardinia	Alghero			sigilla impressa; tituli fabricationis	Crispini	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p896	40.5600205	8.3151473			
EDCS-23400550	CIL 10, 08072,07 = SRD 01288 = Porra 00518	Sardinia	Alghero			nomen singulare; officium/professio; sigilla impressa; tituli fabricationis; viri	Mena/tis / pr(a)ef(ecti) // Tibe/riani / proc(uratoris)	opus figlinae		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p956	40.5600205	8.3151473			
