EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-14804468	CIL 09, 03444 (p 1605)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	-50	-1	liberti/libertae; mulieres; officium/professio; tituli sepulcrales; tria nomina; viri	] / C(aius) Apo[nius] / C(ai) l(ibertus) Ant[3] / paenu[larius] / sibi et T[3] / P(ubli) l(ibertae) Gal[lae con]/cubin[ae et] / [l]ibert[is	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p449;CO0083360 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083360	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008522
EDCS-14804469	CIL 09, 03445 (p 1605)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; nomen singulare; officium/professio; servi/servae; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) s(acrum) / Campes/tri Biole/nae Quin/tae ser(vo) disp(ensatori) / auctoritas / [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p449;CO0083361 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083361	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008523
EDCS-14804470	CIL 09, 03446 (p 1605)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; officium/professio; servi/servae; tituli sepulcrales; tria nomina; viri	Daphino / Vibulenae / Quartillae et / Aponiae Tertullae / vilico / Ares{s}cusa bene / merenti / conservo et / sibi f(ecit)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p449;CO0083362 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083362	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008524
EDCS-14804471	CIL 09, 03447 (p 1605)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; nomen singulare; servi/servae; tituli sepulcrales; tria nomina; viri	Felici / Arriae / Tigridis / ser(vo) / colegiu / p(osuit) s(it) t(ibi) t(erra) l(evis)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p449	42.277935	13.608297			
EDCS-14804472	CIL 09, 03448 (p 1605)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; nomen singulare; servi/servae; tituli sepulcrales; tria nomina; viri	S(it) t(ibi) t(erra) l(evis) // Sperationi / P(ubli) Salvieni / Pauli / dispe(n)satori / Myrtale / conserva / et sibi / p(osuit)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p449	42.277935	13.608297			
EDCS-14804473	CIL 09, 03449 (p 1606)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; tituli sepulcrales; tria nomina; viri	Vixit annis / XXIII me(nsibus) / duo(bus) d(iebus) XII // Aelio Gemino fi/lio carissimo / Aelius Salutaris et / Ceionia Felicula / genitores b(ene) m(erenti) p(osuerunt)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p449	42.277935	13.608297			
EDCS-14804474	CIL 09, 03450 (p 1606)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; tituli sepulcrales; tria nomina; viri	P(ublio) Anniole/no Hepaga/to f(ilio) piissimo / v(ixit) a(nnos) XIX / P(ublio) Orfidio / Hepagato p(atri) / Anniolena / Primigenia / viva sibi et / m[arito] et suis / S[3]	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p449;CO0083363 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083363	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008525;PH0008526
EDCS-14804475	CIL 09, 03451 (p 1606)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	-50	-1	tituli sepulcrales; tria nomina; viri	[3] Apponiolen[us] / [C]n(aei) f(ilius) Maxim[us] / [3] Arbaiano / [G]emino filio s[uo] / [v]ix{s}it annos XX[3] / in f(ronte) p(edes) XX[3] / in ag(ro) p(edes) XX[3]	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p449;CO0083364 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083364	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008527;PH0008528
EDCS-14804476	CIL 09, 03452 (p 1606)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum			mulieres; tituli sepulcrales	]RE Aproni[3] / [3] felicissima ETIVCE [3] / [3]decela pro sua pie[tate	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p449	42.277935	13.608297			
EDCS-14804477	CIL 09, 03453 (p 1607)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	1	100	tituli sepulcrales; tria nomina; viri	P(ublius) Arrius / Severus / P(ublio) Arrio / Marso frat(ri) / pientissimo / posterisq(ue) / suis / p(osuit)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450;CO0083365 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083365	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008529
