EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-66200160	AE 2008, 01259	Achaia	Archea Ilida / Ilis / Elis	271	330			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD068263 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD068263	37.883105	21.384716		GR	
EDCS-26200661	CIL 01, 00425n (p 886)	Achaia	Archea Ilida / Ilis / Elis				Tr(ebius) Loisio(s)				37.883105	21.384716			
EDCS-78100029	AE 1893, 00036	Achaia	Archea Olimpia / Archaia Olympia / Olympia	147	150	mulieres; ordo senatorius; tituli honorarii; tituli sacri; tria nomina; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P214426;1ae1893-08	37.6438698	21.6255129		GR	
EDCS-24600769	AE 1995, 01407 = AE 2001, 01812	Achaia	Archea Olimpia / Archaia Olympia / Olympia	81	96		Octa(vius) Sa(lutaris)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050999 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD050999	37.6438698	21.6255129			
EDCS-28500280	CIL 03, 07246 = IvOlympia 00919	Achaia	Archea Olimpia / Archaia Olympia / Olympia	1	200		]tionee p[r]aecepimu[s 3] / [3] maiori exuberante me[3] / [3]aca ha[b]eret etiam con[3] / [3 n]ostrae favor [3] / [3]AECT[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064158 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064158	37.6438698	21.6255129			
EDCS-28500281	CIL 03, 07247 = CIL 03, 12278 = IvOlympia 00914 = D 00970 = AE 1891, 00128 = AE 1947, +00076 = AE 1949, 00011 = AE 1975, 00780	Achaia	Archea Olimpia / Archaia Olympia / Olympia	50	52		A(ulus) Didius G[allus leg]atus [Tib(eri)] / Claudi Caes[aris] Aug(usti) Ger[mani]/ci tr[i]umphal[ibus o]rname[ntis] / [XVvir] s(acris) f(aciundis) proco(n)[s(ul) Asia]e et Sicilia[e] / [leg(atus) A]siae pr[aefectu]s equitat(us) / [3 quaestor Impe]ratoris			http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0008345;HD011889;de_01dessuoft%23page/211/mode/2up;1ae1891-40 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD011889 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0008345	37.6438698	21.6255129			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0003385
EDCS-26400008	CIL 03, 07248 = CIL 01, 02983 = IvOlympia 00918	Achaia	Archea Olimpia / Archaia Olympia / Olympia				S]ervilio [			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064159 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064159	37.6438698	21.6255129			
EDCS-28500282	CIL 03, 07249 = IvOlympia 00920	Achaia	Archea Olimpia / Archaia Olympia / Olympia				]I[3] / [3]LN[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064160 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064160	37.6438698	21.6255129			
EDCS-31300007	D 08767	Achaia	Archea Olimpia / Archaia Olympia / Olympia							http://db.edcs.eu/epigr/partner.php?s_language=en&param=de_22dessuoft%23page/1006/mode/2up	37.6438698	21.6255129		GR	
EDCS-31300010	D 08768	Achaia	Archea Olimpia / Archaia Olympia / Olympia							http://db.edcs.eu/epigr/partner.php?s_language=en&param=de_22dessuoft%23page/1006/mode/2up	37.6438698	21.6255129		GR	
EDCS-31300011	D 08786	Achaia	Archea Olimpia / Archaia Olympia / Olympia							http://db.edcs.eu/epigr/partner.php?s_language=en&param=de_22dessuoft%23page/1011/mode/2up	37.6438698	21.6255129		GR	
EDCS-31300012	D 08803a	Achaia	Archea Olimpia / Archaia Olympia / Olympia							http://db.edcs.eu/epigr/partner.php?s_language=en&param=de_22dessuoft%23page/1017/mode/2up	37.6438698	21.6255129		GR	
EDCS-31300013	D 08803b	Achaia	Archea Olimpia / Archaia Olympia / Olympia							http://db.edcs.eu/epigr/partner.php?s_language=en&param=de_22dessuoft%23page/1017/mode/2up	37.6438698	21.6255129		GR	
EDCS-31300014	D 08803c	Achaia	Archea Olimpia / Archaia Olympia / Olympia							http://db.edcs.eu/epigr/partner.php?s_language=en&param=de_22dessuoft%23page/1017/mode/2up	37.6438698	21.6255129		GR	
EDCS-31300008	D 08824a	Achaia	Archea Olimpia / Archaia Olympia / Olympia							http://db.edcs.eu/epigr/partner.php?s_language=en&param=de_22dessuoft%23page/1023/mode/2up	37.6438698	21.6255129		GR	
EDCS-31300009	D 08824b	Achaia	Archea Olimpia / Archaia Olympia / Olympia							http://db.edcs.eu/epigr/partner.php?s_language=en&param=de_22dessuoft%23page/1023/mode/2up	37.6438698	21.6255129		GR	
EDCS-08200672	IvOlympia 00913 = ZPE-189-259	Achaia	Archea Olimpia / Archaia Olympia / Olympia	-40	-38		M(arcus) [Ag]rippa			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064271 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064271	37.6438698	21.6255129			
EDCS-08200673	IvOlympia 00915	Achaia	Archea Olimpia / Archaia Olympia / Olympia	54	68	Augusti/Augustae; tituli fabricationis; viri	Neronis Aug(usti)	plumbum		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064272 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064272	37.6438698	21.6255129			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IvOlympia_00915.jpg
EDCS-08200674	IvOlympia 00916	Achaia	Archea Olimpia / Archaia Olympia / Olympia				]AVI II[3] / [3]ENAF[3] / [3]MO[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD047197 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD047197	37.6438698	21.6255129			
EDCS-08200675	IvOlympia 00917	Achaia	Archea Olimpia / Archaia Olympia / Olympia				]LAD[3] / [3] Genuci [3] / [3]ECA[ // ]A[3] / [3]T ESI[ // ]NVF[3] / [3]C censu[s? 3] / [3]MI[	aes		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD060514 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD060514	37.6438698	21.6255129			
EDCS-08200676	IvOlympia 00921	Achaia	Archea Olimpia / Archaia Olympia / Olympia				]XXII [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064275 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064275	37.6438698	21.6255129			
EDCS-08200677	IvOlympia 00922	Achaia	Archea Olimpia / Archaia Olympia / Olympia	1	300		C(ai) Aur(eli) Sti()			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064276 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064276	37.6438698	21.6255129			
EDCS-08200678	IvOlympia 00923	Achaia	Archea Olimpia / Archaia Olympia / Olympia	-50	100		]SPO[ // ]COS[ // ]O[3] / [3]NIC[3] / [3]CA[ // ]OR[ // ]RC[ // ]TV[3] / [3]GI[ // ]S LI[ // ]POT[ // ]O[ // ]G[ // ]CD[ // ]MM[ // ]SC[ // ]T S[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064277 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064277	37.6438698	21.6255129			
EDCS-08200679	IvOlympia 00924	Achaia	Archea Olimpia / Archaia Olympia / Olympia				]MV[ // ]VI[ // ]SAVO[	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064278 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064278	37.6438698	21.6255129			
EDCS-08200680	IvOlympia 00925	Achaia	Archea Olimpia / Archaia Olympia / Olympia				] t(estamento) f(ieri) i(ussit) [ // ]AIC[ // ]IS[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064279 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064279	37.6438698	21.6255129			
EDCS-08200681	IvOlympia 00926	Achaia	Archea Olimpia / Archaia Olympia / Olympia				]DOR[	vitrum		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064280 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064280	37.6438698	21.6255129			
EDCS-08200682	IvOlympia 00927	Achaia	Archea Olimpia / Archaia Olympia / Olympia	71	150		Oct(avie) salve			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064281 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064281	37.6438698	21.6255129			
EDCS-08200683	IvOlympia 00928	Achaia	Archea Olimpia / Archaia Olympia / Olympia	71	150		Oct(avie) Sal[v]e			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064282 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064282	37.6438698	21.6255129			
EDCS-08200684	IvOlympia 00929	Achaia	Archea Olimpia / Archaia Olympia / Olympia				PAVP O			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD064283 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD064283	37.6438698	21.6255129			
EDCS-03300850	NIvOlympia 00071 = SEG-45, 00413 = AE 1995, 01406	Achaia	Archea Olimpia / Archaia Olympia / Olympia	84	84	Augusti/Augustae; tituli operum; tituli sacri; viri	[Imp(erator) Caes]ar divi Vespasian[i] f(ilius) Dom[itianus Aug(ustus)] / [Ge]rma[ni]cus pontif(ex) [ma]x(imus) tr[ib(unicia) pot(estate) III] / i[mp(erator)] VI [p(ater) p(atriae) co(n)s(ul) X] / [3]NOM[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050998 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD050998	37.6438698	21.6255129			
EDCS-59200124	NIvOlympia 00072a	Achaia	Archea Olimpia / Archaia Olympia / Olympia				Neron[is] Aug(usti)				37.6438698	21.6255129			
EDCS-59200125	NIvOlympia 00321	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Cornel(i)	opus figlinae			37.6438698	21.6255129			
EDCS-59200126	NIvOlympia 00322a	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Camuri	opus figlinae			37.6438698	21.6255129			
EDCS-59200127	NIvOlympia 00322b	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Camuri	opus figlinae			37.6438698	21.6255129			
EDCS-59200128	NIvOlympia 00322c	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	[C]amuri	opus figlinae			37.6438698	21.6255129			
EDCS-59200129	NIvOlympia 00322d	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Camuri	opus figlinae			37.6438698	21.6255129			
EDCS-59200130	NIvOlympia 00323	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	L(uci) Ras(ini) Drauc(i)	opus figlinae			37.6438698	21.6255129			
EDCS-59200131	NIvOlympia 00324a	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Octa(vi) Sa(lutaris)	opus figlinae			37.6438698	21.6255129			
EDCS-59200132	NIvOlympia 00324b	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Oct(avi) Salu(taris)	opus figlinae			37.6438698	21.6255129			
EDCS-59200133	NIvOlympia 00324c	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Oct(avi) Sal(utaris)	opus figlinae			37.6438698	21.6255129			
EDCS-59200134	NIvOlympia 00324d	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Oct(avi) Sa(lutaris)	opus figlinae			37.6438698	21.6255129			
EDCS-59200135	NIvOlympia 00324e = SEG-45, 00414	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Octa(vi) Sa(lutaris)	opus figlinae			37.6438698	21.6255129			
EDCS-59200136	NIvOlympia 00324f	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Octa(vi) Sal(utaris)	opus figlinae			37.6438698	21.6255129			
EDCS-59200137	NIvOlympia 00325 = SEG-11, 01257a	Achaia	Archea Olimpia / Archaia Olympia / Olympia				Veia{ia}n(i) //				37.6438698	21.6255129		GR	
EDCS-59200138	NIvOlympia 00360a	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Au[ciss]a	opus figlinae			37.6438698	21.6255129			
EDCS-59200139	NIvOlympia 00360b	Achaia	Archea Olimpia / Archaia Olympia / Olympia			sigilla impressa; tituli fabricationis	Aucissa	opus figlinae			37.6438698	21.6255129			
EDCS-66400034	SEG-15, 00254 = AE 1960, 00076 = AE 2006, 01360	Achaia	Archea Olimpia / Archaia Olympia / Olympia	189	189			lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065201 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD065201	37.6438698	21.6255129		GR	
EDCS-51000087	CIMRM-02, 02353	Achaia	Argolis								37.5686138	22.8605054		GR	
EDCS-78300617	AE 1920, 00081	Achaia	Argos	-63	-63	ordo senatorius; tituli honorarii; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1920-25	37.6353109	22.7259515		GR	
EDCS-78300618	AE 1920, 00082	Achaia	Argos			ordo senatorius; tituli honorarii; viri		lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1920-25;1ae1920-26	37.6353109	22.7259515		GR	
EDCS-67200836	AE 2002, 01316a	Achaia	Argos	401	500					http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043281 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD043281	37.6353109	22.7259515		GR	
EDCS-67200837	AE 2002, 01316b	Achaia	Argos	401	425					http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043282 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD043282	37.6353109	22.7259515		GR	
EDCS-67200838	AE 2002, 01316c	Achaia	Argos	376	425					http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043283 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD043283	37.6353109	22.7259515		GR	
EDCS-67200839	AE 2002, 01316d	Achaia	Argos	371	430					http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043284 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD043284	37.6353109	22.7259515		GR	
EDCS-67200840	AE 2002, 01316e	Achaia	Argos	301	370					http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043285 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD043285	37.6353109	22.7259515		GR	
EDCS-67200841	AE 2002, 01316f	Achaia	Argos	351	450					http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043286 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD043286	37.6353109	22.7259515		GR	
EDCS-67200842	AE 2002, 01316g	Achaia	Argos							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043287 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD043287	37.6353109	22.7259515		GR	
EDCS-24900122	CIL 03, 00532 = CIL 03, 07265 = CIL 01, 00747 (p 944) = IG-04, 00604 = D 00868 = ILLRP 00376 (p 328)	Achaia	Argos	-67	-67		Q(uintum) Maarcium Q(uinti) [f(ilium) Regem] / Italicei quei ne/gotian[tur Argeis] //			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056168;de_01dessuoft%23page/195/mode/2up | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD056168	37.6353109	22.7259515		GR	
EDCS-26001122	CIL 03, 14203,14 = CIL 01, 02228 (p 1096) = IG-04, 00634	Achaia	Argos	-100	200	liberti/libertae	[3] l(iberta) Hiluria [3] //			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062656 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062656	37.6353109	22.7259515		GR	
